Tweet,Sentiment
"Dude, what the fuck?!",negative
@boysfromdaegu who da fuck allowed this,negative
"@KosokoJackson I'm sorry to hear you got kicked off the bus for speaking up. If she cried, it's cuz she's recognizi https://t.co/jYtPatCXJX",negative
"@ZintelM @tyrabanks What did you expect from someone who knows fuck all about Africa. 

She really did Israel thoug https://t.co/fmHKt6zeTK",negative
@JazzyLoRadio Fuck em,negative
albanian nudist beach porn aunt julia returns fuck https://t.co/7Kk3wREXCw,neutral
People dont know when to shut the fuck up :),negative
If Im always nice to you and you never got at least a slight cuss out... I dont fuck you with you at ALL.,positive
@NCTsmtown fuck,negative
ten this bitch said he wont expose himself cause his body isnt ready and then drop those pictures like it aint a big deal ????? fuck you fr,negative
