Tweet,Sentiment
"Timbers U23 tryouts are almost full 

Want to be a part of something special this summer in Salem on your https://t.co/R6seKrSyfx",neutral
@OfficialKillie @officialQTS @KillieFCSLO @KillieFC @BBTankers Match Highlights from the U23's game away to https://t.co/2qanad9Ekb,neutral
"#INPLAY

Umm Salal U23's Game 
Over 1 FH Goal Line 
Odds 2.00",neutral
"INPLAY 

QATAR LEAGUE 

AL DUHAIL U23 GAME 0.5 OVER FH GOAL",neutral
@OfficialKillie @officialQTS @KillieFC  @KillieFCSLO @BBTankers First into League Cup action this weekend are our U https://t.co/JFgOqWAcNT,neutral
@simon_orourke 2/2. Allowing  U23 teams in JP Trophy. Went down a treat .. less than 100 turn out to a number of th https://t.co/teuGRIElfg,negative
Cardiff City U23 vs Blackburn Rovers U23 Football Live Stream - English U23 Premier League Cup - 22-Feb - Soccer - https://t.co/46Aj1iOjCr,neutral
@DoctorT1992 Can u23's #signpablo ?,neutral
@jwmblackmore Absolute Foolishness! Some of the greatest players are learning the trade with U23s and Youth Sides! https://t.co/eZP6kUzqlW,positive
Live Football Cardiff City U23 vs Blackburn Rovers U23 - How to Watch - English U23 Premier League Cup - 22-Feb - S https://t.co/tE3NFVfnaY,neutral
