Tweet,Sentiment
@BusteloIvette @2avag3 @ShiftNations23 Cuhz that hoe basic the fuck is you talking bout. I can throw a Svedka bottl https://t.co/gw1qwLqUhh,negative
sexy girls geting fuck black adults porn https://t.co/RqFUN5OBxc,neutral
"bangtan: *loses jungkook in the crowd*

bangtan: LET'S GET I-

jungkook: what the fuck STOP, that's my line

bangtan: there he is",negative
fuck older pussy kim nude https://t.co/D6VUwNPONP,neutral
WHAT THE FUCK BARBA,negative
yeah fuck you https://t.co/WtzgCCeu5z,neutral
Last time my mom picked a four leaf my grandpa and my dog died within TWO DAYS! FUCK THAT LOL! https://t.co/50tsbLcnQ0,negative
@realDonaldTrump @NRA How the fuck did you accidentally put six spaces in your tweet?,negative
"Oh, Tekashi got into a shituation cause he disrespected women??? thats so unlike him?? next thing yall gon tell me https://t.co/XOeAUX7Cdi",negative
@realDonaldTrump @NRA You are going down. Meuller is going to take you down and have you escorted to prison. Once y https://t.co/DlkiIhmKof,negative
"@emilyXObrien FFS, why cant celebs stay the fuck outta politics? Its classier when celebs dont meddle and they d https://t.co/JAO7zggfLo",negative
@John_MAGA_Smith @realDonaldTrump @NRA Fuck off,negative
"TURN
THIS
THE
FUCK
UP

https://t.co/IaZTrlwxIL",neutral
"@realDonaldTrump @NRA Make Amerikkka White Again? Fuck you Donald, POS traitor.",negative
@TheYoungTurks I long for a world controlled by science books not guns. Fuck guns free the critical thinkers.,negative
Annoying fuck.,negative
Some people are just absolutely so thirsty that they fuck people over in the end,negative
Get the fuck out of my mind.,negative
I HAVENT WATCHED THE BOSS STAGE ALL BUT ONE OF MY ULT GROUPS HAVE BEEN SO ACTIVE FUCK,positive
@thehill Fuck the NRA and anyone who accepts their blood soaked money. The NRA and the GOP is nothing but spineless https://t.co/GW6fETtBLx,negative
