,Tweets,len,ID,Date,Source,Likes,RTs,SA
0,"I will always remember the time I spent today with courageous students, teachers and families. So much love in the… https://t.co/u8ZYPzhp2S",139,9.66488E+17,2/22/2018 1:40,Twitter for iPhone,57020,13575,1
1,.@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayer… https://t.co/Q8BrGTiHuP,140,9.6642E+17,2/21/2018 21:12,Twitter for iPhone,58519,13614,0
2,"Yesterday, it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders, and to a… https://t.co/PsfNaJrfEB",140,9.66377E+17,2/21/2018 18:20,Media Studio,55394,11749,1
3,"Question: If all of the Russian meddling took place during the Obama Administration, right up to January 20th, why… https://t.co/dquN8v8VwU",139,9.66322E+17,2/21/2018 14:40,Twitter for iPhone,95033,27133,1
4,The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.,129,9.66317E+17,2/21/2018 14:22,Twitter for iPhone,127599,26992,1
5,"@CNN @MSNBC Whether we are Republican or Democrat, we must now focus on strengthening Background Checks!",104,9.6612E+17,2/21/2018 1:18,Twitter for iPhone,73976,15109,0
6,"So true, thank you! https://t.co/9TTXlfokYz",43,9.66119E+17,2/21/2018 1:14,Twitter for iPhone,91229,20715,1
7,Bad ratings @CNN &amp; @MSNBC got scammed when they covered the anti-Trump Russia rally wall-to-wall. They probably kne… https://t.co/1s5PQaBe2g,144,9.66117E+17,2/21/2018 1:08,Twitter for iPhone,87694,21119,-1
8,"Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. ""This shows small-business owners are more… https://t.co/gkJczuVCt6",139,9.66007E+17,2/20/2018 17:49,Twitter for iPhone,69427,16761,1
9,....cameras running. Another False Accusation. Why doesn’t @washingtonpost report the story of the women taking mon… https://t.co/OTpK1KLYOL,140,9.65972E+17,2/20/2018 15:29,Twitter for iPhone,74825,19181,-1
10,"A woman I don’t know and, to the best of my knowledge, never met, is on the FRONT PAGE of the Fake News Washington… https://t.co/lWlDMu6gxb",139,9.65968E+17,2/20/2018 15:16,Twitter for iPhone,90831,21064,1
11,"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!",87,9.65944E+17,2/20/2018 13:38,Twitter for iPhone,74137,15813,-1
12,"Hope Republicans in the Great State of Pennsylvania challenge the new “pushed” Congressional Map, all the way to th… https://t.co/bT190oQKpM",140,9.65937E+17,2/20/2018 13:11,Twitter for iPhone,75077,19647,1
13,Matt Schlapp and CPAC are getting ready for another exciting event. Big difference from those days when President O… https://t.co/KxKVJL0Bc4,140,9.65935E+17,2/20/2018 13:03,Twitter for iPhone,48523,9840,1
14,"Republicans are now leading the Generic Poll, perhaps because of the popular Tax Cuts which the Dems want to take a… https://t.co/TQfyR96KP8",140,9.65933E+17,2/20/2018 12:54,Twitter for iPhone,78151,16723,1
15,....The President Obama quote just before election. That’s because he thought Crooked Hillary was going to win and… https://t.co/59Wli8q1pN,139,9.65931E+17,2/20/2018 12:46,Twitter for iPhone,80717,19989,1
16,"“There is no serious person out there who would suggest somehow that you could even rig America’s elections, there’… https://t.co/eJ9M6A2H50",140,9.65928E+17,2/20/2018 12:37,Twitter for iPhone,64370,16960,1
17,Thank you to @foxandfriends for the great timeline on all of the failures the Obama Administration had against Russ… https://t.co/SI7CxX4a7C,140,9.65925E+17,2/20/2018 12:24,Twitter for iPhone,63078,14304,1
18,"“The Faith of Donald Trump,” a book just out by David Brody and Scott Lamb, is a very interesting read. Enjoy!",110,9.6578E+17,2/20/2018 2:48,Twitter for iPhone,65846,13047,1
